T285,S0
T282,S0
T505,S0
T509,S0
T517,S0
T520,S0
T524,S0
T202,S0
T532,S0
T237,S0
T540,S0
T215,S0
T561,S0
T549,S0
T31,S0
T283,S0
T284,S0
T13,S0
T212,S0
T213,S0
T214,S0
T274,S0
T501,S0
T231,S0
T267,S0
T220,S0
T236,S0
T226,S0
T230,S0
T270,S0
T281,S5
T239,S0
T272,S0
T279,S0
T402,S0
T401,S0
T404,S0
T405,S0
T407,S0
T408,S0
T410,S0
T411,S0
T412,S0
T241,S5
T415,S0
T416,S0
T423,S0
T413,S0
T403,S0
T217,S0
T522,S0
T907,S0
T542,S0
T229,S0
T261,S0
T203,S0
T204,S0
T50,S0
T51,S0
T206,S0
T292,S0
T222,S0
T235,S0
T245,S5
T280,S0
T560,S0
T529,S0
T791,S0
T799,S0
T548,S0
T290,S0
T221,S0
T227,S0
T288,S0
T225,S0
T780,S0
T700,S0
T260,S0
T233,S0
T701,S0
T208,S0
T710,S0
T232,S0
T256,S0
T32,S0
T562,S0
T568,S0
T263,S0
T535,S0
T702,S0
T275,S0
T703,S0
T265,S0
T76,S0
T273,S0
T67,S0
T428,S0
T708,S0
T251,S0
T790,S0
T6,S0
T266,S0
T563,S0
T291,S0
T556,S0
T704,S0
T705,S0
T706,S0
T707,S0
T904,S0
T900,S0
T295,S1
T57,S0
T56,S0
T927,S0
T909,S0
T912,S0
T913,S0
T903,S0
T427,S0
T242,S0
T15,S0
T901,S0
T294,S0
T902,S0
T293,S0
T228,S0
T285,S0
T282,S0
T505,S0
T509,S0
T517,S0
T520,S0
T524,S0
T202,S0
T532,S0
T237,S0
T540,S0
T215,S0
T561,S0
T549,S0
T31,S0
T283,S0
T284,S0
T13,S0
T212,S0
T213,S0
T214,S0
T274,S0
T501,S0
T231,S0
T267,S0
T220,S0
T236,S0
T226,S0
T230,S0
T270,S0
T281,S0
T239,S0
T272,S0
T279,S0
T402,S0
T401,S0
T404,S0
T405,S0
T407,S0
T408,S0
T410,S0
T411,S0
T412,S0
T241,S0
T415,S0
T416,S0
T423,S0
T413,S0
T403,S0
T217,S0
T522,S0
T907,S0
T542,S0
T229,S0
T261,S0
T203,S0
T204,S0
T50,S0
T51,S0
T206,S0
T292,S0
T222,S0
T235,S0
T245,S0
T280,S0
T560,S0
T529,S0
T791,S0
T799,S0
T548,S0
T290,S0
T221,S0
T227,S0
T288,S0
T225,S0
T780,S0
T700,S0
T260,S0
T233,S0
T701,S0
T208,S0
T710,S0
T232,S0
T256,S0
T32,S0
T562,S0
T568,S0
T263,S0
T535,S0
T702,S0
T275,S0
T703,S0
T265,S0
T76,S0
T273,S0
T67,S0
T428,S0
T708,S0
T251,S0
T790,S0
T6,S0
T266,S0
T563,S0
T291,S0
T556,S0
T704,S0
T705,S0
T706,S0
T707,S0
T904,S0
T900,S0
T295,S0
